SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8 Juri St,San Francisco,CA,94110,2295000,3,2.5,San Francisco,2050,1855,1898,7,1120,,Active,,,http://www.redfin.com/CA/San-Francisco/8-Juri-St-94110/home/1196523,San Francisco MLS,421595298,N,Y,37.7500246,-122.4220167
MLS Listing,,Condo/Co-op,2444 Van Ness Ave #5,San Francisco,CA,94109,2150000,3,3.0,San Francisco,1579,4375,1926,7,1362,832,Active,,,http://www.redfin.com/CA/San-Francisco/2444-Van-Ness-Ave-94109/unit-5/home/2020810,San Francisco MLS,421591906,N,Y,37.7982325,-122.4237091
MLS Listing,,Condo/Co-op,2444 Van Ness Ave #4,San Francisco,CA,94109,1895000,3,3.0,San Francisco,1548,4375,1926,7,1224,832,Active,,,http://www.redfin.com/CA/San-Francisco/2444-Van-Ness-Ave-94109/unit-4/home/1952946,San Francisco MLS,421595525,N,Y,37.7982325,-122.4237091
MLS Listing,,Condo/Co-op,2779 Folsom St #1,San Francisco,CA,94110,2395000,3,3.5,San Francisco,2241,8260,,7,1069,704,Active,,,http://www.redfin.com/CA/San-Francisco/2779-Folsom-St-94110/unit-1/home/176436884,San Francisco MLS,421595634,N,Y,37.752965,-122.413713
MLS Listing,,Condo/Co-op,435 China Basin St #335,San Francisco,CA,94158,1439000,2,2.0,San Francisco,1176,122891,2012,7,1224,863,Active,,,http://www.redfin.com/CA/San-Francisco/435-China-Basin-St-94158/unit-335/home/40629302,San Francisco MLS,421590901,N,Y,37.7718864,-122.3885728
MLS Listing,,Single Family Residential,248 Juanita Way,San Francisco,CA,94127,1848000,4,3.0,San Francisco,2240,2962,1931,7,825,,Active,September-25-2021 02:00 PM,September-25-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/248-Juanita-Way-94127/home/1549324,San Francisco MLS,421560851,N,Y,37.7406389,-122.4570316
MLS Listing,,Single Family Residential,1027 - 1029 De Haro St,San Francisco,CA,94107,1598000,3,2.0,San Francisco,2370,2500,1907,7,674,,Active,September-26-2021 02:00 PM,September-26-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1027-De-Haro-St-94107/home/2001041,San Francisco MLS,421595885,N,Y,37.7567421,-122.4006448
MLS Listing,,Condo/Co-op,250 King St #538,San Francisco,CA,94107,729900,1,1.0,Soma,650,,2004,7,1123,800,Active,,,http://www.redfin.com/CA/San-Francisco/250-King-St-94107/unit-538/home/22889147,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40967536,N,Y,37.7781222,-122.3932903
MLS Listing,,Condo/Co-op,336 28th St,San Francisco,CA,94131,1995000,3,3.0,San Francisco,,3247,2004,7,,250,Active,,,http://www.redfin.com/CA/San-Francisco/336-28th-St-94131/home/1488625,San Francisco MLS,421595697,N,Y,37.7453004,-122.4299155
MLS Listing,,Single Family Residential,139 24th Ave,San Francisco,CA,94121,9500000,5,4.5,San Francisco,6210,9000,1909,7,1530,,Active,,,http://www.redfin.com/CA/San-Francisco/139A-24th-Ave-94121/unit-A/home/1460828,San Francisco MLS,421593707,N,Y,37.7869211,-122.4845373
MLS Listing,,Single Family Residential,329 Surrey St,San Francisco,CA,94131,1350000,3,2.0,San Francisco,1136,2391,1927,7,1188,,Active,,,http://www.redfin.com/CA/San-Francisco/329-Surrey-St-94131/home/1168398,San Francisco MLS,421595898,N,Y,37.7357616,-122.4374894
MLS Listing,,Condo/Co-op,74 New Montgomery St #609,San Francisco,CA,94105,749000,1,1.0,San Francisco,,17865,1914,7,,863,Active,September-26-2021 12:00 PM,September-26-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/74-New-Montgomery-St-94105/unit-609/home/17305033,San Francisco MLS,421595888,N,Y,37.7874649,-122.4012865
MLS Listing,,Condo/Co-op,159 Jasper St,San Francisco,CA,94133,799000,2,1.0,San Francisco,,1873,1910,7,,470,Active,,,http://www.redfin.com/CA/San-Francisco/159-Jasper-Pl-94133/home/39541929,San Francisco MLS,421594632,N,Y,37.8012524,-122.4086382
MLS Listing,,Single Family Residential,143 Detroit St,San Francisco,CA,94131,1349000,3,2.0,San Francisco,1400,1873,1925,7,964,,Active,September-25-2021 01:00 PM,September-25-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/143-Detroit-St-94112/home/697726,San Francisco MLS,421592257,N,Y,37.728905,-122.4445232
MLS Listing,,Multi-Family (2-4 Unit),1290 38th Ave,San Francisco,CA,94122,1625000,5,,San Francisco,2605,1746,1947,7,624,,Active,,,http://www.redfin.com/CA/San-Francisco/1290-38th-Ave-94122/home/1969549,San Francisco MLS,421589860,N,Y,37.7628872,-122.4972571
MLS Listing,,Condo/Co-op,170 Everson St,San Francisco,CA,94131,1395000,3,3.0,San Francisco,1916,680,1973,7,728,746,Active,September-25-2021 01:00 PM,September-25-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/170-Everson-St-94131/home/844772,San Francisco MLS,421593092,N,Y,37.7394537,-122.4329
MLS Listing,,Multi-Family (2-4 Unit),358 3rd Ave,San Francisco,CA,94118,2288000,5,4.0,San Francisco,2888,3000,1979,7,792,,Active,,,http://www.redfin.com/CA/San-Francisco/358-3rd-Ave-94118/home/1172969,San Francisco MLS,421591850,N,Y,37.7819957,-122.4608554
MLS Listing,,Multi-Family (2-4 Unit),3731 - 3733 Market St,San Francisco,CA,94131,2499000,4,4.0,San Francisco,3018,1995,,7,828,,Active,September-25-2021 11:00 AM,September-25-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/3731-Market-St-94131/home/1230215,San Francisco MLS,421595447,N,Y,37.7541703,-122.4416998
MLS Listing,,Single Family Residential,1621 Cayuga Ave,San Francisco,CA,94112,1159000,3,3.0,San Francisco,1885,2000,1938,7,615,,Active,September-25-2021 01:00 PM,September-25-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1621-Cayuga-Ave-94112/home/1465010,San Francisco MLS,421595369,N,Y,37.7158434,-122.4470883
MLS Listing,,Single Family Residential,100 Meadowbrook Dr,San Francisco,CA,94132,1779000,3,2.0,San Francisco,1735,3981,1941,7,1025,,Active,September-25-2021 12:00 PM,September-25-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/100-Meadowbrook-Dr-94132/home/1869919,San Francisco MLS,421587662,N,Y,37.7321722,-122.4842489
MLS Listing,,Condo/Co-op,401 Harrison Ph 49A,San Francisco,CA,94105,3450000,2,2.0,San Francisco,1648,,2014,7,2093,1502,Active,,,http://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-49A/home/144064348,San Francisco MLS,421595855,N,Y,37.7863747,-122.3919931
MLS Listing,,Single Family Residential,167 Vernon,San Francisco,CA,94132,1100000,4,3.0,San Francisco,2000,2500,1929,7,550,,Active,September-26-2021 01:00 PM,September-26-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/167-Vernon-St-94132/home/1632313,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40967518,N,Y,37.7155153,-122.4682599
MLS Listing,,Condo/Co-op,401 Harrison St Unit 32E,San Francisco,CA,94105,2525000,2,2.0,San Francisco,1241,,2014,7,2035,1404,Active,,,http://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-32E/home/144064279,San Francisco MLS,421595851,N,Y,37.7863747,-122.3919931
MLS Listing,,Single Family Residential,130 Geneva Ave,San Francisco,CA,94112,1198000,4,2.0,San Francisco,2340,2197,1928,7,512,,Active,September-25-2021 01:00 PM,September-25-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/130-Geneva-Ave-94112/home/1680988,San Francisco MLS,421592154,N,Y,37.721668,-122.449715
MLS Listing,,Single Family Residential,30 Pinehurst Way,San Francisco,CA,94127,1749000,4,2.0,San Francisco,2050,3336,1928,7,853,,Active,September-26-2021 02:00 PM,September-26-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/30-Pinehurst-Way-94127/home/699530,San Francisco MLS,421592339,N,Y,37.727191,-122.4653664
MLS Listing,,Condo/Co-op,1177 California St #1201,San Francisco,CA,94108,995000,1,1.0,San Francisco,884,,1978,7,1126,1264,Active,,,http://www.redfin.com/CA/San-Francisco/1177-California-St-94108/unit-1201/home/1947633,San Francisco MLS,421593340,N,Y,37.7909986,-122.4137649
MLS Listing,,Condo/Co-op,271 27th St,San Francisco,CA,94131,1595000,2,2.0,San Francisco,1126,2736,1900,7,1417,200,Active,September-25-2021 11:00 AM,September-25-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/271-27th-St-94131/home/1379898,San Francisco MLS,421594701,N,Y,37.7467519,-122.4264186
MLS Listing,,Multi-Family (2-4 Unit),549 - 551 Monterey Blvd,San Francisco,CA,94127,1595000,4,2.0,San Francisco,3365,2813,1978,7,474,,Active,September-26-2021 11:00 AM,September-26-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/549-Monterey-Blvd-94127/home/1911408,San Francisco MLS,421588290,N,Y,37.7312567,-122.4476808
MLS Listing,,Condo/Co-op,394 Fair Oaks St #2,San Francisco,CA,94110,1495000,2,1.0,San Francisco,1525,3443,1900,7,980,479,Active,,,http://www.redfin.com/CA/San-Francisco/394-Fair-Oaks-St-94110/unit-2/home/959049,San Francisco MLS,421595596,N,Y,37.7504379,-122.4241846
MLS Listing,,Single Family Residential,58 Teddy Ave,San Francisco,CA,94134,1098000,3,2.5,San Francisco,1479,1625,2009,7,742,,Active,September-25-2021 01:30 PM,September-25-2021 04:30 PM,http://www.redfin.com/CA/San-Francisco/58-Teddy-Ave-94134/home/21637827,San Francisco MLS,421595321,N,Y,37.7136019,-122.4034217
MLS Listing,,Condo/Co-op,2443 Chestnut St,San Francisco,CA,94123,1899000,2,2.0,San Francisco,1570,3409,1927,7,1210,300,Active,September-25-2021 02:00 PM,September-25-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2443-Chestnut-St-94123/home/1224706,San Francisco MLS,421593318,N,Y,37.7997167,-122.4435727
MLS Listing,,Condo/Co-op,325 Berry St #403,San Francisco,CA,94158,1050000,1,1.0,San Francisco,918,41654,2007,7,1144,697,Active,September-26-2021 02:00 PM,September-26-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/325-Berry-St-94158/unit-403/home/17304335,San Francisco MLS,421568932,N,Y,37.773394,-122.3957106
MLS Listing,,Condo/Co-op,838 Potrero Ave Unit A,San Francisco,CA,94110,849000,2,1.0,San Francisco,,2400,1905,7,,250,Active,September-25-2021 01:00 PM,September-25-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/838-Potrero-Ave-94110/unit-A/home/148058167,San Francisco MLS,421594831,N,Y,37.7586889,-122.407222
MLS Listing,,Condo/Co-op,310 Carolina St #307,San Francisco,CA,94107,1689000,2,2.0,San Francisco,1271,12734,2015,7,1329,583,Active,,,http://www.redfin.com/CA/San-Francisco/310-Carolina-St-94103/unit-307/home/110052790,San Francisco MLS,421594128,N,Y,37.764641,-122.4008947
MLS Listing,,Condo/Co-op,325 Berry St #420,San Francisco,CA,94158,1649000,2,2.0,San Francisco,1295,,2007,7,1273,,Active,September-26-2021 02:00 PM,September-26-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/325-Berry-St-94158/unit-420/home/17305296,San Francisco MLS,421594267,N,Y,37.773394,-122.3957106
MLS Listing,,Single Family Residential,226 20th Ave,San Francisco,CA,94121,1475000,4,1.5,San Francisco,2120,3000,1914,7,696,,Active,September-25-2021 11:00 AM,September-25-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/226-20th-Ave-94121/home/1668537,San Francisco MLS,421582000,N,Y,37.7835888,-122.4794734
MLS Listing,,Condo/Co-op,2211 California St #407,San Francisco,CA,94115,799000,1,1.0,San Francisco,615,6915,1911,7,1299,611,Active,September-25-2021 02:00 PM,September-25-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2211-California-St-94115/unit-407/home/1838422,San Francisco MLS,421595655,N,Y,37.7889945,-122.4309987
